ms1,b1,e1,id2,ms2,b2,e2,ch_match,matches_percent
29,861,1435,Shia000383Vols,212,1052,1625,440,91
29,1241,1358,Shia000383Vols,324,941,1058,94,100
29,1007,1463,Shia000234Vols,262,7,386,277,75
29,861,1458,Shia000374Vols,30,335,919,437,87
29,861,1463,Shia000049Vols,138,358,970,469,93
29,861,1471,Shia000401Vols,15,237,848,458,88
29,877,1463,Shia000317Vols,137,699,1118,286,57
29,881,1392,Shia000317Vols,332,1132,1635,391,93
29,881,1407,Sham19Y0014176,89,1048,1393,132,26
30,1,582,Rafed0003793Vols,526,1155,1574,336,71
30,582,1567,Rafed0003793Vols,527,1,998,789,96
31,1,571,Rafed0003793Vols,527,998,1568,458,100
31,571,849,Rafed0003793Vols,528,1,291,218,90
31,840,1566,Rafed0003793Vols,803,931,1279,285,47
32,1,353,Rafed0003793Vols,803,1279,1631,287,100
32,353,669,Rafed0003793Vols,804,1,317,253,100
33,35,506,Rafed0003793Vols,528,286,714,313,82
33,522,1261,Rafed0003793Vols,1032,1036,1442,324,53
33,1304,1463,Shia000820Vols,22,1167,1470,83,31
34,1259,1468,Shia000017,225,47,253,145,81
34,328,614,Shia000107Vols,77,64,657,138,27
35,22,189,Shia000017,225,922,1116,126,77
35,926,1118,Shia000291Vols,227,1165,1318,120,79
36,1164,1448,Rafed0003793Vols,804,519,768,185,75
36,43,273,Shia000291Vols,227,1329,1555,177,95
36,279,508,Shia000291Vols,228,1,222,170,93
36,813,1074,Shamela0006222,9,1014,1356,155,54
36,830,1074,Shia002119Vols,253,807,1171,170,57
36,1159,1587,Shia000107Vols,503,962,1318,230,63
36,170,512,Sham19Y0017768,322,27,249,129,45
36,830,1074,Sham19Y0016599,560,495,862,172,57
36,1140,1587,Shia000218Vols,939,920,1343,229,58
37,1024,1454,Rafed0003793Vols,676,1122,1558,326,93
37,1,285,Shia000017,56,253,548,196,80
37,1056,1326,Shia000049Vols,132,1192,1483,152,60
38,635,1115,Rafed0003793Vols,671,797,1277,386,100
38,1136,1334,Rafed0003793Vols,707,38,236,157,100
38,190,357,Shia000049Vols,133,136,273,102,79
38,915,1115,Shia000317Vols,1751,1,201,157,99
39,1,1246,Rafed0003793Vols,707,254,1498,996,99
39,1246,1441,Rafed0003793Vols,708,1,195,154,99
40,520,1144,Rafed0003793Vols,919,667,1542,500,71
40,1144,1534,Rafed0003793Vols,920,1,391,315,100
40,520,1534,Shia000234Vols,1760,170,710,402,48
41,1,162,Rafed0003793Vols,920,391,552,127,100
41,1,162,Shia000234Vols,1760,710,871,127,100
41,1,162,Shia000374Vols,1002,1018,1179,121,91
41,323,564,Shia000048,27,1304,1595,152,59
41,98,1051,Shia000065,18,455,1087,224,23
42,791,1510,Shia000094Vols,137,847,1292,245,37
42,568,1518,Rafed0003793Vols,1220,1,950,764,99
42,1215,1510,Shia000196Vols,85,1158,1401,94,28
42,803,1087,Shia000234Vols,319,574,880,167,61
42,540,708,Shia000234Vols,10744,100,277,113,74
42,783,1510,Shia000218Vols,806,459,964,223,35
42,1060,1264,Sham19Y0014608,267,520,724,90,43
43,1328,1588,Rafed0003793Vols,549,355,615,210,100
43,1,256,Rafed0003793Vols,1220,950,1205,205,100
43,1303,1450,Shia000053,196,1250,1382,103,86
43,69,256,Shia000196Vols,86,40,247,124,72
43,43,256,Shia000383Vols,729,549,767,129,68
43,43,256,Shia000234Vols,321,638,856,130,69
43,43,256,Shia000218Vols,806,1057,1275,130,69
44,1,954,Rafed0003793Vols,549,615,1567,766,99
44,954,1377,Rafed0003793Vols,550,1,423,343,99
44,873,1148,Shia000053,198,334,608,197,82
44,680,1129,Masaha001130Vols,583,979,1467,290,67
44,111,562,Zaydiyya0000302,63,1060,1548,326,78
44,575,1153,Zaydiyya0000302,64,18,626,378,70
44,11,543,Shia002369Vols,29,405,758,214,47
45,1017,1349,Shia000094Vols,172,366,609,192,72
45,834,1349,Rafed0003793Vols,550,349,837,344,81
45,1014,1349,Shia000291Vols,1524,644,851,162,60
45,1156,1349,Shia000263Vols,412,1219,1410,152,98
45,1156,1349,Shia000374Vols,332,72,263,149,96
45,1017,1349,Shia000218Vols,306,67,313,191,70
46,7,814,Rafed0003793Vols,550,837,1554,575,88
46,814,1549,Rafed0003793Vols,551,1,742,562,94
46,1094,1289,Shia000263Vols,412,1432,1624,143,86
46,1094,1281,Shia000121Vols,309,150,336,140,85
47,1,808,Rafed0003793Vols,551,742,1549,650,99
47,808,1079,Rafed0003793Vols,552,1,226,140,55
47,1,284,Shia000019Vols,140,334,697,179,54
47,92,411,Zaydiyya0000302,43,674,927,164,61
48,203,540,Shia000234Vols,610,419,774,243,79
48,220,397,Shia000317Vols,576,424,601,131,85
48,1036,1615,Zaydiyya0000302,48,360,843,311,61
49,70,205,Shia003636Vols,12450,482,588,83,78
49,1,341,Rafed0003793Vols,560,1247,1532,176,58
49,1,328,Shia000017,64,1237,1498,170,60
49,1,254,Shia002382Vols,494,333,693,94,24
